Comments,Emotions
"Great video! These days I've been wondering how best to monetize products in AI engineering (a question of real-world application and real market value), especially in the field of AI agents. I believe that the books at the end of the video will mean the most to me. Where I can find those books and do you have any sources or examples where I can research more on this?
By the way, I am a student of electrical engineering.
Greetings!",admiration
"You're missing Deep Learning Python from Francois Chollet, one of the best books on the subject. The best reference to learn Keras and Tensorflow basics covering some mathematical foundations as well.",admiration
Wow im truly honoured to be taught by the original Spiderman,joy
Thanks!,gratitude
"Great recommendations of some of your books. I used a few of them when I was studying for my Analytics degree, especially the math and statistics, they're important when your doing time series and correlation.",admiration
"Diving into AI/ML stuff to complement Web3 network infrastructure projects. Super helpful and straight to the point. Congrats on 25k+ subs; you deserve more subs. Thanks for sharing this, Egor! 😊",gratitude
Professor Charles Severance is *DA Man*. Glad you recommended his course. He is  awesome.,admiration
"Regarding math, do you consider first having calculus background?",neutral
"OMG IT'S YOU!!
I remember watching your video when you had around 1k subs, so glad to see you growing, congratulations!!",excitement
❤❤❤ Thank you very much 🙏🏿,gratitude
Great video sharing …thank you 😊,admiration
This is great.  Is there a way to specialize this in cybersecurity?,admiration
"Please don't make the animation speed significantly slower than your video fps. It is distracting and takes away from overall content. If your source fps do not match, try to interpolate the slower animations so it syncs smoothly with the rest of your video.",caring
You are forgetting to mention 'Build a Large Language Model' by Sebastian Raschka. Not to mention his YT channel.,neutral
Any Source for Learning C Language?,curiosity
Excellent!,admiration
I bought that book a few months ago because i really want to study at least a moment without screens. The question here is : with that information can i understand how the new tecnologies like n8n agents AI work? Or its just an introduction to AI? I dont want to get stuck in this scary but also beautiful world hehe,curiosity
hey Egor ive been following you on YouTube and you are really doing some good work .... BTW i ve got every book you mentioned as a PDF but u am unable to get Practical MLops by Noah gift,admiration
Great Content 🇧🇹 👍🏻,admiration
Completing these all books will cost me my half life😭😭😭,realization
"90% of ""back-ends"" use JAVASCRIPT buddy... not Rust..",neutral
You said ai has been around for centuries lol??? I think you meant decades.,amusement
"Your videos were the reason i started  uploading my journey studying machine learning and sharing everything i learn on github(Already on week 3 !!),  Thanks  Egor",gratitude
Gracias por las pistas de audio !!,excitement
"Thanks, Always helpful videos from an experienced person.",gratitude
Hi Egor. Did you at any point learn cloud or is it something you just learned on the job? I'm currently doing the Machine Learning Specialization course and I'm planning to do the Deep Learning Specialization afterwards. I would later like to do the AWS Machine Learning Nanodegree for practical experience but it seems it has cloud knowledge as a prerequisite. I assume it's the same with the Zero to Mastery course.,curiosity
"See! 
When you want to, you can actually do something smart! :D",admiration
Any good resources for Data Science?,curiosity
